GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US11932,11932,ZCTA5 11932,832,224
8600000US11933,11933,ZCTA5 11933,6540,652
8600000US11934,11934,ZCTA5 11934,7810,845
8600000US11935,11935,ZCTA5 11935,3604,456
8600000US11937,11937,ZCTA5 11937,15729,594
8600000US11939,11939,ZCTA5 11939,1340,235
8600000US11940,11940,ZCTA5 11940,4923,464
8600000US11941,11941,ZCTA5 11941,1712,413
8600000US11942,11942,ZCTA5 11942,4842,670
8600000US11944,11944,ZCTA5 11944,4088,419
8600000US11946,11946,ZCTA5 11946,14381,1017
8600000US11947,11947,ZCTA5 11947,121,115
8600000US11948,11948,ZCTA5 11948,735,272
8600000US11949,11949,ZCTA5 11949,13852,780
8600000US11950,11950,ZCTA5 11950,15752,1162
8600000US11951,11951,ZCTA5 11951,13639,892
8600000US11952,11952,ZCTA5 11952,4612,414
8600000US11953,11953,ZCTA5 11953,12581,747
8600000US11954,11954,ZCTA5 11954,3296,415
8600000US11955,11955,ZCTA5 11955,2981,532
8600000US11956,11956,ZCTA5 11956,288,100
8600000US11957,11957,ZCTA5 11957,650,136
8600000US11958,11958,ZCTA5 11958,454,177
8600000US11959,11959,ZCTA5 11959,656,183
8600000US11960,11960,ZCTA5 11960,963,235
8600000US11961,11961,ZCTA5 11961,11982,646
8600000US11962,11962,ZCTA5 11962,214,90
8600000US11963,11963,ZCTA5 11963,6516,731
8600000US11964,11964,ZCTA5 11964,1633,287
8600000US11965,11965,ZCTA5 11965,824,260
8600000US11967,11967,ZCTA5 11967,27031,1226
8600000US11968,11968,ZCTA5 11968,12103,669
8600000US11970,11970,ZCTA5 11970,846,423
8600000US11971,11971,ZCTA5 11971,5851,502
8600000US11972,11972,ZCTA5 11972,817,246
8600000US11973,11973,ZCTA5 11973,19,18
8600000US11975,11975,ZCTA5 11975,351,127
8600000US11976,11976,ZCTA5 11976,1804,413
8600000US11977,11977,ZCTA5 11977,2559,399
8600000US11978,11978,ZCTA5 11978,3208,423
8600000US11980,11980,ZCTA5 11980,4994,553
8600000US12007,12007,ZCTA5 12007,84,76
8600000US12008,12008,ZCTA5 12008,520,141
8600000US12009,12009,ZCTA5 12009,7073,500
8600000US12010,12010,ZCTA5 12010,29192,728
8600000US12015,12015,ZCTA5 12015,3317,350
8600000US12017,12017,ZCTA5 12017,386,104
8600000US12018,12018,ZCTA5 12018,7571,761
8600000US12019,12019,ZCTA5 12019,14821,635
8600000US12020,12020,ZCTA5 12020,30403,785
8600000US12022,12022,ZCTA5 12022,929,151
8600000US12023,12023,ZCTA5 12023,2219,295
8600000US12024,12024,ZCTA5 12024,59,91
8600000US12025,12025,ZCTA5 12025,5470,331
8600000US12027,12027,ZCTA5 12027,3885,362
